column_number, radial distance, total stars, total sterilizations- at least sterilized once
254,7605,7521120,271080
255,7635,7453440,147240
256,7665,7379640,126000
257,7695,7311960,177120
258,7725,7241760,126720
259,7755,7171920,128160
260,7785,7110000,192600
261,7815,7038000,70560
262,7845,6976440,62640
263,7875,6907320,150480
264,7905,6842880,110160
265,7935,6772320,55800
266,7965,6708960,55800
267,7995,6649200,109440
268,8025,6585120,81360
269,8055,6520680,66240
270,8085,6460920,135360
271,8115,6400440,111960
272,8145,6334920,168840
273,8175,6275880,105840
274,8205,6215040,136800
275,8235,6153480,82080
276,8265,6094440,100440
277,8295,6033600,151920
278,8325,5980320,101160
279,8355,5920560,115920
280,8385,5861160,95400
281,8415,5805000,84240
282,8445,5751000,73800
283,8475,5694480,59760
284,8505,5638680,130320
285,8535,5585760,51480
286,8565,5526360,113040
287,8595,5473800,37440
288,8625,5419440,76680
289,8655,5367240,52560
290,8685,5313960,61200
291,8715,5261760,86760
292,8745,5211720,102960
293,8775,5157720,62640
294,8805,5107680,83160
295,8835,5054400,55800
296,8865,5008320,54360
297,8895,4958280,47160
298,8925,4908600,57600
299,8955,4857480,70920
300,8985,4812120,77400
301,9015,4765320,17280
302,9045,4713840,31680
303,9075,4670640,68760
304,9105,4624200,86760
305,9135,4581000,104760
306,9165,4533120,61200
307,9195,4482720,31680
308,9225,4439160,56520
309,9255,4394160,22320
310,9285,4350600,54000
311,9315,4306680,36000
312,9345,4263840,66240
313,9375,4220640,31680
314,9405,4177080,33120
315,9435,4138560,33120
316,9465,4092120,43920
317,9495,4051440,59400
318,9525,4016160,39240
319,9555,3970800,22320
320,9585,3931920,23400
321,9615,3888720,22320
322,9645,3856680,70200
323,9675,3812400,36360
324,9705,3775680,38160
325,9735,3735720,44640
326,9765,3697560,30960
327,9795,3660480,23040
328,9825,3623760,37440
329,9855,3584160,19440
330,9885,3548520,21240
331,9915,3513960,20160
332,9945,3476160,14400
333,9975,3437640,50040
334,10005,3407400,24120
335,10035,3366720,36000
336,10065,3334320,14400
337,10095,3301560,18000
338,10125,3266640,27000
339,10155,3232800,15840
340,10185,3199320,24120
341,10215,3164760,19800
342,10245,3132360,34920
343,10275,3099960,19800
344,10305,3070800,28440
345,10335,3038400,24120
346,10365,3005640,21240
347,10395,2974320,25920
348,10425,2948040,18000
349,10455,2917440,31680
350,10485,2878920,34920
351,10515,2851560,19800
352,10545,2822040,24120
353,10575,2793600,16560
354,10605,2763000,9360
355,10635,2738520,13680
356,10665,2707200,9360
357,10695,2674440,27000
358,10725,2650320,32760
359,10755,2621880,28080
360,10785,2596680,16200
361,10815,2569680,20160
362,10845,2539080,15480
363,10875,2516760,5040
364,10905,2490120,3600
365,10935,2462040,3240
366,10965,2433240,7560
367,10995,2413080,21600
368,11025,2385360,28080
369,11055,2359440,16920
370,11085,2331360,6840
371,11115,2307240,17280
372,11145,2285280,27000
373,11175,2263680,3600
374,11205,2236680,18360
375,11235,2211840,9000
376,11265,2188440,5400
377,11295,2167560,3600
378,11325,2143440,4320
379,11355,2117880,12960
380,11385,2099880,10080
381,11415,2073600,14400
382,11445,2050920,23760
383,11475,2030400,22680
384,11505,2011320,13320
385,11535,1986840,10440
386,11565,1968840,5040
387,11595,1948680,11160
388,11625,1927080,10440
389,11655,1907280,14400
390,11685,1883880,6480
391,11715,1865160,3960
392,11745,1843560,360
393,11775,1824840,3960
394,11805,1803600,1440
395,11835,1785240,7200
396,11865,1769760,8640
397,11895,1749960,3600
398,11925,1727280,10440
399,11955,1709280,2520
400,11985,1692360,2520
