column_number, radial distance, total stars, total sterilizations- at least sterilized once
1,15,432360,10800
2,45,1283760,32760
3,75,2106000,151920
4,105,2913120,121320
5,135,3694680,268560
6,165,4453920,470160
7,195,5193720,649080
8,225,5911560,927000
9,255,6614640,860400
10,285,7291800,1242000
11,315,7952760,909360
12,345,8595000,1356120
13,375,9215280,2696040
14,405,9826200,2003400
15,435,10415160,2883960
16,465,10986120,3207240
17,495,11538360,2527560
18,525,12073680,3448440
19,555,12593880,3250800
20,585,13098240,3964680
21,615,13592520,2814480
22,645,14065200,3323160
23,675,14524560,2628000
24,705,14968080,3611880
25,735,15399360,3557880
26,765,15811920,3941280
27,795,16218000,3544560
28,825,16607160,3136680
29,855,16982640,5274360
30,885,17345160,4827960
31,915,17698320,4218120
32,945,18032760,4615920
33,975,18360360,5156640
34,1005,18672120,4967640
35,1035,18978120,4777560
36,1065,19267200,5849280
37,1095,19545840,5351040
38,1125,19818360,5986800
39,1155,20078640,5727960
40,1185,20327760,6497640
41,1215,20563560,5596560
42,1245,20790360,4190400
43,1275,21011040,5160240
44,1305,21221640,4992840
45,1335,21420000,6346800
46,1365,21614760,5734800
47,1395,21796560,5811120
48,1425,21970080,6150240
49,1455,22135680,5335560
50,1485,22291920,5751000
51,1515,22443840,5689080
52,1545,22579920,5995080
53,1575,22716720,6693120
54,1605,22843440,5688000
55,1635,22960080,7663320
56,1665,23073840,6269400
57,1695,23176440,5571720
58,1725,23272920,6273720
59,1755,23361840,6345000
60,1785,23446800,6114600
61,1815,23526720,6528240
62,1845,23599440,6877080
63,1875,23669280,6424920
64,1905,23726880,5473080
65,1935,23778360,7187400
66,1965,23832000,5263560
67,1995,23873040,5347440
68,2025,23910480,5661360
69,2055,23949720,6095520
70,2085,23973120,5185800
71,2115,23995440,5358600
72,2145,24014880,7135200
73,2175,24029280,6311880
74,2205,24034680,5533560
75,2235,24040800,6460920
76,2265,24036120,6273000
77,2295,24032160,5967720
78,2325,24033240,4139280
79,2355,24017040,6347880
80,2385,23997600,5649840
81,2415,23974920,5904360
82,2445,23954760,4767840
83,2475,23928120,4318920
84,2505,23896440,5476320
85,2535,23859720,5442480
86,2565,23824440,5328360
87,2595,23788080,3970440
88,2625,23740200,4439160
89,2655,23693400,4357800
90,2685,23646960,5598720
91,2715,23592960,5256360
92,2745,23534640,5128200
93,2775,23478480,3950640
94,2805,23418360,3782520
95,2835,23355720,5468760
96,2865,23290560,4181760
97,2895,23222520,3789360
98,2925,23151960,4346280
99,2955,23078160,3725280
100,2985,23005080,3994920
101,3015,22928400,4116600
102,3045,22847400,3047040
103,3075,22767840,3776040
104,3105,22686840,5117400
105,3135,22603680,3845880
106,3165,22514760,3331800
107,3195,22428000,3451320
108,3225,22341960,3183840
109,3255,22249080,3742200
110,3285,22156200,2897280
111,3315,22064400,2675520
112,3345,21970800,3251520
113,3375,21872520,2637000
114,3405,21774600,3210840
115,3435,21678120,3045600
116,3465,21575520,2544480
117,3495,21474720,2705400
118,3525,21368160,2904480
119,3555,21264120,2959920
120,3585,21157920,3175200
121,3615,21056760,2178720
122,3645,20949120,2290680
123,3675,20844000,2522880
124,3705,20736720,3081240
125,3735,20627640,2472120
