column_number, radial distance, total stars, total sterilizations- at least sterilized once
1,15,432360,24480
2,45,1283760,83520
3,75,2106000,189000
4,105,2913120,295920
5,135,3694680,198000
6,165,4453920,483120
7,195,5193720,514440
8,225,5911560,1079640
9,255,6614640,1468080
10,285,7291800,1434960
11,315,7952760,1784520
12,345,8595000,1239480
13,375,9215280,1673280
14,405,9826200,2486880
15,435,10415160,2855160
16,465,10986120,2787480
17,495,11538360,3271320
18,525,12073680,3542400
19,555,12593880,4222800
20,585,13098240,4461480
21,615,13592520,3945960
22,645,14065200,3368160
23,675,14524560,5195880
24,705,14968080,5291280
25,735,15399360,4684680
26,765,15811920,5399640
27,795,16218000,5827320
28,825,16607160,6545880
29,855,16982640,5737680
30,885,17345160,4829400
31,915,17698320,6009480
32,945,18032760,7223400
33,975,18360360,6391080
34,1005,18672120,5659920
35,1035,18978120,6927840
36,1065,19267200,7810200
37,1095,19545840,7155720
38,1125,19818360,7540200
39,1155,20078640,6389640
40,1185,20327760,6220440
41,1215,20563560,7530120
42,1245,20790360,7158240
43,1275,21011040,7174800
44,1305,21221640,6767640
45,1335,21420000,9284400
46,1365,21614760,8715600
47,1395,21796560,6831360
48,1425,21970080,9043200
49,1455,22135680,6801480
50,1485,22291920,5947560
51,1515,22443840,7104600
52,1545,22579920,7821360
53,1575,22716720,7688880
54,1605,22843440,7443000
55,1635,22960080,8629560
56,1665,23073840,7585560
57,1695,23176440,6805080
58,1725,23272920,7772760
59,1755,23361840,8105400
60,1785,23446800,8528400
61,1815,23526720,9400680
62,1845,23599440,6744240
63,1875,23669280,6116760
64,1905,23726880,6733080
65,1935,23778360,7240680
66,1965,23832000,6665040
67,1995,23873040,8241840
68,2025,23910480,8595360
69,2055,23949720,7149600
70,2085,23973120,7115760
71,2115,23995440,8222400
72,2145,24014880,6593040
73,2175,24029280,8134200
74,2205,24034680,6266160
75,2235,24040800,6009480
76,2265,24036120,5961240
77,2295,24032160,5636160
78,2325,24033240,5601240
79,2355,24017040,6486840
80,2385,23997600,7356960
81,2415,23974920,7196040
82,2445,23954760,5436360
83,2475,23928120,6413760
84,2505,23896440,7574040
85,2535,23859720,7107480
86,2565,23824440,4921920
87,2595,23788080,6415560
88,2625,23740200,6404760
89,2655,23693400,5964120
90,2685,23646960,6256440
91,2715,23592960,5695200
92,2745,23534640,6080040
93,2775,23478480,5600520
94,2805,23418360,5175000
95,2835,23355720,5472000
96,2865,23290560,5064120
97,2895,23222520,4453560
98,2925,23151960,5298120
99,2955,23078160,5280480
100,2985,23005080,5397480
101,3015,22928400,5746320
102,3045,22847400,5055480
103,3075,22767840,6540840
104,3105,22686840,5606280
105,3135,22603680,4747320
106,3165,22514760,3629880
107,3195,22428000,4197240
108,3225,22341960,4878360
109,3255,22249080,4038120
110,3285,22156200,4148280
111,3315,22064400,4019760
112,3345,21970800,3830040
113,3375,21872520,3546720
114,3405,21774600,2940120
115,3435,21678120,4561920
116,3465,21575520,3701160
117,3495,21474720,4115880
118,3525,21368160,4607280
119,3555,21264120,4208040
