column_number, radial distance, total stars, total sterilizations- at least sterilized once
254,7605,7521120,209160
255,7635,7453440,186840
256,7665,7379640,142200
257,7695,7311960,194400
258,7725,7241760,183600
259,7755,7171920,149040
260,7785,7110000,237240
261,7815,7038000,126000
262,7845,6976440,72360
263,7875,6907320,177480
264,7905,6842880,129600
265,7935,6772320,86040
266,7965,6708960,66240
267,7995,6649200,120960
268,8025,6585120,51120
269,8055,6520680,60840
270,8085,6460920,163440
271,8115,6400440,165600
272,8145,6334920,102240
273,8175,6275880,99360
274,8205,6215040,155880
275,8235,6153480,79920
276,8265,6094440,98280
277,8295,6033600,165960
278,8325,5980320,83880
279,8355,5920560,77040
280,8385,5861160,109080
281,8415,5805000,81360
282,8445,5751000,58680
283,8475,5694480,64800
284,8505,5638680,143640
285,8535,5585760,75960
286,8565,5526360,95760
287,8595,5473800,45000
288,8625,5419440,70560
289,8655,5367240,88200
290,8685,5313960,64800
291,8715,5261760,81360
292,8745,5211720,132480
293,8775,5157720,29880
294,8805,5107680,85680
295,8835,5054400,123480
296,8865,5008320,42480
297,8895,4958280,55440
298,8925,4908600,70200
299,8955,4857480,65520
300,8985,4812120,138600
301,9015,4765320,43560
302,9045,4713840,29160
303,9075,4670640,74880
304,9105,4624200,46800
305,9135,4581000,40680
306,9165,4533120,57600
307,9195,4482720,49680
308,9225,4439160,64440
309,9255,4394160,16200
310,9285,4350600,47880
311,9315,4306680,28800
312,9345,4263840,31320
313,9375,4220640,23400
314,9405,4177080,33120
315,9435,4138560,20520
316,9465,4092120,30600
317,9495,4051440,47880
318,9525,4016160,28440
319,9555,3970800,14760
320,9585,3931920,32400
321,9615,3888720,29880
322,9645,3856680,26640
323,9675,3812400,25560
324,9705,3775680,56520
325,9735,3735720,48240
326,9765,3697560,45000
327,9795,3660480,20880
328,9825,3623760,54360
329,9855,3584160,32040
330,9885,3548520,22320
331,9915,3513960,18720
332,9945,3476160,19080
333,9975,3437640,47520
334,10005,3407400,21600
335,10035,3366720,36000
336,10065,3334320,13680
337,10095,3301560,19800
338,10125,3266640,27360
339,10155,3232800,19800
340,10185,3199320,18720
341,10215,3164760,22320
342,10245,3132360,24480
343,10275,3099960,17280
344,10305,3070800,28440
345,10335,3038400,24120
346,10365,3005640,21240
347,10395,2974320,25920
348,10425,2948040,18000
349,10455,2917440,31680
350,10485,2878920,29880
351,10515,2851560,13680
352,10545,2822040,19080
353,10575,2793600,12600
354,10605,2763000,8640
355,10635,2738520,11880
356,10665,2707200,11160
357,10695,2674440,27000
358,10725,2650320,32400
359,10755,2621880,15480
360,10785,2596680,15840
361,10815,2569680,23760
362,10845,2539080,14760
363,10875,2516760,6120
364,10905,2490120,3960
365,10935,2462040,3240
366,10965,2433240,7560
367,10995,2413080,17640
368,11025,2385360,15840
369,11055,2359440,15840
370,11085,2331360,10440
371,11115,2307240,20520
372,11145,2285280,27720
373,11175,2263680,3240
374,11205,2236680,19440
375,11235,2211840,10080
376,11265,2188440,5760
377,11295,2167560,3600
378,11325,2143440,6120
379,11355,2117880,14760
380,11385,2099880,10080
381,11415,2073600,14760
382,11445,2050920,26640
383,11475,2030400,22680
384,11505,2011320,21600
385,11535,1986840,4680
386,11565,1968840,3960
387,11595,1948680,7560
388,11625,1927080,15120
389,11655,1907280,14400
390,11685,1883880,6480
391,11715,1865160,4320
392,11745,1843560,360
