column_number, radial distance, total stars, total sterilizations- at least sterilized once
1,15,432360,27000
2,45,1283760,61560
3,75,2106000,152640
4,105,2913120,129600
5,135,3694680,419760
6,165,4453920,618480
7,195,5193720,921600
8,225,5911560,937080
9,255,6614640,1309320
10,285,7291800,1460880
11,315,7952760,1307880
12,345,8595000,1947960
13,375,9215280,3056400
14,405,9826200,2438280
15,435,10415160,2927160
16,465,10986120,3444480
17,495,11538360,3098520
18,525,12073680,3660840
19,555,12593880,4110120
20,585,13098240,5041800
21,615,13592520,4295160
22,645,14065200,4164120
23,675,14524560,3766680
24,705,14968080,4282200
25,735,15399360,5093280
26,765,15811920,5176440
27,795,16218000,4791240
28,825,16607160,5400720
29,855,16982640,6284520
30,885,17345160,5766120
31,915,17698320,5900760
32,945,18032760,6543000
33,975,18360360,6990840
34,1005,18672120,6758640
35,1035,18978120,6658560
36,1065,19267200,7242840
37,1095,19545840,6965280
38,1125,19818360,7163280
39,1155,20078640,7687440
40,1185,20327760,7300440
41,1215,20563560,6832440
42,1245,20790360,6254280
43,1275,21011040,6485040
44,1305,21221640,6683400
45,1335,21420000,7337880
46,1365,21614760,8349120
47,1395,21796560,7552800
48,1425,21970080,7637400
49,1455,22135680,7837200
50,1485,22291920,8354880
51,1515,22443840,7403400
52,1545,22579920,8360640
53,1575,22716720,7803720
54,1605,22843440,6858000
55,1635,22960080,9279360
56,1665,23073840,7810920
57,1695,23176440,6955560
58,1725,23272920,7551720
59,1755,23361840,8371440
60,1785,23446800,7682400
61,1815,23526720,8708400
62,1845,23599440,8084520
63,1875,23669280,7650000
64,1905,23726880,7177320
65,1935,23778360,7599960
66,1965,23832000,7101000
67,1995,23873040,7143120
68,2025,23910480,7361280
69,2055,23949720,7654680
70,2085,23973120,6332760
71,2115,23995440,7858800
72,2145,24014880,8663760
73,2175,24029280,7639920
74,2205,24034680,7250040
75,2235,24040800,8490600
76,2265,24036120,7603560
77,2295,24032160,7157880
78,2325,24033240,5706000
79,2355,24017040,7330680
80,2385,23997600,7154280
81,2415,23974920,8082000
82,2445,23954760,6483960
83,2475,23928120,6175080
84,2505,23896440,6183360
85,2535,23859720,6649200
86,2565,23824440,5944320
87,2595,23788080,5171400
88,2625,23740200,5563440
89,2655,23693400,6199200
90,2685,23646960,6845040
91,2715,23592960,6604560
92,2745,23534640,5988960
93,2775,23478480,4747680
94,2805,23418360,4755600
95,2835,23355720,6517800
96,2865,23290560,5259600
97,2895,23222520,5323320
98,2925,23151960,5392800
99,2955,23078160,5454360
100,2985,23005080,5653440
101,3015,22928400,5192640
102,3045,22847400,4329360
103,3075,22767840,4621320
104,3105,22686840,6404400
105,3135,22603680,4883040
106,3165,22514760,4325760
107,3195,22428000,4635360
108,3225,22341960,4520520
109,3255,22249080,4822920
110,3285,22156200,4578120
111,3315,22064400,4143600
112,3345,21970800,4199040
113,3375,21872520,4241520
114,3405,21774600,4568040
115,3435,21678120,3791520
116,3465,21575520,3341880
117,3495,21474720,3597840
118,3525,21368160,4168440
119,3555,21264120,3792960
120,3585,21157920,4152240
121,3615,21056760,3178440
122,3645,20949120,3200760
123,3675,20844000,3133440
124,3705,20736720,3795480
125,3735,20627640,3508200
126,3765,20509920,3155760
127,3795,20408400,3421800
128,3825,20291400,3318480
129,3855,20182320,3234960
130,3885,20066040,2988000
131,3915,19956240,2579760
132,3945,19842480,2682720
133,3975,19731960,2274120
134,4005,19616400,2476080
135,4035,19497960,3067560
136,4065,19383120,2603880
137,4095,19272960,2333160
138,4125,19154160,2753640
139,4155,19039320,2538000
140,4185,18922320,2482920
141,4215,18804960,3495960
142,4245,18687240,2865600
143,4275,18568800,1999440
144,4305,18452880,2720880
145,4335,18337320,1780920
146,4365,18218880,2028960
147,4395,18101520,2094120
148,4425,17982720,1764720
149,4455,17868960,1970280
150,4485,17750160,2189160
151,4515,17626680,1582200
152,4545,17512560,1893240
153,4575,17391960,2323800
154,4605,17274600,1554480
155,4635,17157960,1626120
156,4665,17038800,1716120
157,4695,16926840,2173680
158,4725,16806960,2065680
159,4755,16687440,2212200
160,4785,16569360,1736640
161,4815,16454880,1668240
162,4845,16337880,2093760
163,4875,16219800,2128320
164,4905,16103160,1744200
165,4935,15983640,1309680
166,4965,15869880,2045880
167,4995,15756120,1554840
168,5025,15641280,1271160
169,5055,15525000,1453680
170,5085,15412680,1357560
171,5115,15296400,1554840
172,5145,15184440,1298520
173,5175,15073560,1050840
174,5205,14952960,1107720
175,5235,14844240,1099800
176,5265,14731200,1757880
177,5295,14618160,1046880
178,5325,14507280,1207800
179,5355,14392800,1043640
180,5385,14284080,1216440
181,5415,14175000,1058400
182,5445,14063040,723600
183,5475,13952160,963360
184,5505,13842000,1177560
185,5535,13735800,1341360
186,5565,13625280,1469880
187,5595,13515480,1236960
188,5625,13410360,1140840
189,5655,13302720,726840
190,5685,13199040,924120
191,5715,13089960,1066320
192,5745,12984840,669240
193,5775,12881520,906840
194,5805,12773520,784800
195,5835,12670560,975600
196,5865,12564000,582120
197,5895,12463560,756000
198,5925,12361680,783720
199,5955,12260880,618840
200,5985,12158280,627840
201,6015,12052800,502920
202,6045,11957040,489600
203,6075,11859120,596520
204,6105,11760120,594000
205,6135,11659320,479520
206,6165,11563200,567000
207,6195,11464920,458640
208,6225,11368080,707760
209,6255,11272320,529560
210,6285,11176560,556920
211,6315,11079360,386280
212,6345,10985040,686160
213,6375,10890720,438840
214,6405,10796400,720000
215,6435,10703880,759960
216,6465,10611360,590040
217,6495,10519920,531720
218,6525,10426680,442440
219,6555,10334880,560520
220,6585,10248120,430560
221,6615,10153800,473040
222,6645,10066320,352800
223,6675,9979920,373320
224,6705,9892800,478440
225,6735,9803880,342360
226,6765,9719280,402120
227,6795,9629640,479880
228,6825,9545400,429480
229,6855,9459360,492120
230,6885,9373680,334800
231,6915,9291240,307800
232,6945,9210240,470520
233,6975,9127080,420840
234,7005,9043200,431640
235,7035,8966880,329040
236,7065,8884440,185400
237,7095,8798400,243720
238,7125,8722080,369000
239,7155,8641440,345240
240,7185,8560800,371880
241,7215,8484480,270000
242,7245,8407440,162720
243,7275,8329680,417240
244,7305,8250480,368640
245,7335,8179560,276840
246,7365,8102880,246600
247,7395,8029800,279360
248,7425,7954560,232200
249,7455,7880040,266760
250,7485,7805160,389880
251,7515,7734960,263520
252,7545,7660080,222120
253,7575,7593120,257040
254,7605,7521120,280440
255,7635,7453440,192600
256,7665,7379640,163800
257,7695,7311960,258120
258,7725,7241760,226800
259,7755,7171920,204120
260,7785,7110000,281520
261,7815,7038000,142200
262,7845,6976440,89640
263,7875,6907320,231840
264,7905,6842880,135360
265,7935,6772320,110520
266,7965,6708960,87120
267,7995,6649200,137160
268,8025,6585120,80640
269,8055,6520680,81720
270,8085,6460920,226800
271,8115,6400440,202320
272,8145,6334920,170280
273,8175,6275880,146520
274,8205,6215040,166680
275,8235,6153480,109080
276,8265,6094440,156600
277,8295,6033600,168480
278,8325,5980320,116640
279,8355,5920560,121320
280,8385,5861160,139320
281,8415,5805000,87120
282,8445,5751000,81360
283,8475,5694480,84600
284,8505,5638680,163800
285,8535,5585760,107280
286,8565,5526360,114840
287,8595,5473800,46440
288,8625,5419440,115560
289,8655,5367240,93600
290,8685,5313960,81000
291,8715,5261760,165600
292,8745,5211720,163440
293,8775,5157720,86760
294,8805,5107680,104760
295,8835,5054400,146160
296,8865,5008320,53640
297,8895,4958280,57240
298,8925,4908600,93600
299,8955,4857480,129960
300,8985,4812120,147960
301,9015,4765320,49320
302,9045,4713840,37080
303,9075,4670640,89280
304,9105,4624200,97920
305,9135,4581000,92160
306,9165,4533120,70560
307,9195,4482720,54360
308,9225,4439160,77400
309,9255,4394160,60840
310,9285,4350600,79920
311,9315,4306680,41040
312,9345,4263840,108000
313,9375,4220640,48240
314,9405,4177080,33840
315,9435,4138560,31680
316,9465,4092120,50040
317,9495,4051440,65880
318,9525,4016160,36720
319,9555,3970800,30600
320,9585,3931920,37800
321,9615,3888720,34920
322,9645,3856680,70560
323,9675,3812400,41400
324,9705,3775680,57240
325,9735,3735720,48240
326,9765,3697560,49320
327,9795,3660480,23760
328,9825,3623760,55080
329,9855,3584160,30240
330,9885,3548520,32760
331,9915,3513960,28080
332,9945,3476160,20520
333,9975,3437640,50040
334,10005,3407400,25560
335,10035,3366720,36000
336,10065,3334320,15480
337,10095,3301560,21600
338,10125,3266640,30240
339,10155,3232800,20520
340,10185,3199320,25560
341,10215,3164760,22680
342,10245,3132360,34920
343,10275,3099960,19800
344,10305,3070800,28440
345,10335,3038400,24120
346,10365,3005640,21240
347,10395,2974320,25920
348,10425,2948040,18000
349,10455,2917440,31680
350,10485,2878920,34920
351,10515,2851560,19800
352,10545,2822040,24120
353,10575,2793600,20520
354,10605,2763000,11520
355,10635,2738520,16560
356,10665,2707200,12240
357,10695,2674440,27360
358,10725,2650320,32760
359,10755,2621880,30600
360,10785,2596680,18720
361,10815,2569680,23760
362,10845,2539080,15840
363,10875,2516760,5760
364,10905,2490120,3600
365,10935,2462040,3600
366,10965,2433240,7560
367,10995,2413080,23760
368,11025,2385360,34920
369,11055,2359440,20160
370,11085,2331360,12240
371,11115,2307240,23400
372,11145,2285280,29520
373,11175,2263680,3960
374,11205,2236680,19440
375,11235,2211840,10080
376,11265,2188440,5760
377,11295,2167560,3600
378,11325,2143440,6120
379,11355,2117880,15120
380,11385,2099880,11520
381,11415,2073600,15120
382,11445,2050920,26640
383,11475,2030400,22680
384,11505,2011320,24840
385,11535,1986840,7200
386,11565,1968840,4320
387,11595,1948680,16920
388,11625,1927080,15480
389,11655,1907280,14040
390,11685,1883880,6480
391,11715,1865160,4320
392,11745,1843560,360
393,11775,1824840,4680
394,11805,1803600,720
395,11835,1785240,8640
396,11865,1769760,9000
397,11895,1749960,3600
398,11925,1727280,12600
399,11955,1709280,12960
400,11985,1692360,5040
401,12015,1670760,3960
402,12045,1653480,2520
403,12075,1640160,1440
404,12105,1620000,2880
405,12135,1601640,5760
406,12165,1585080,9000
407,12195,1568160,5760
408,12225,1551600,2880
409,12255,1532520,8640
410,12285,1519920,2880
411,12315,1500480,0
412,12345,1484640,3240
413,12375,1470600,8280
414,12405,1452960,2160
415,12435,1433520,15120
